Rank,Employer,Employees (mn),Country,State-owned,.mw-parser-output .tooltip-dotted{border-bottom:1px dotted;cursor:help}Ref
1,Ministry of Defence (India),2.99,&#160;India,,&#91;1&#93;
2,Department of Defense (USA),2.93,&#160;United States,,&#91;1&#93;
3,People's Liberation Army,2.55,&#160;China,,&#91;1&#93;
4,Walmart,2.30,&#160;United States,,&#91;1&#93;
5,Amazon,1.61,&#160;United States,,&#91;1&#93;
6,China National Petroleum,1.45,&#160;China,,&#91;1&#93;
7,National Health Service,1.38,&#160;United Kingdom,,&#91;1&#93;
8,Foxconn,1.29,&#160;Taiwan,,&#91;1&#93;
9,Indian Railways,1.21,&#160;India,,&#91;2&#93;
10,Tata Group,1.02,&#160;India,,&#91;3&#93;